name,logo,location,city,company,address,contact,area,price,type,img_url,description,url_website,latitude,longitude
picaflor alameda del rio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/27.%20LOGO%20PICAFLOR.jpg,Alameda del Río,Barranquilla,Amarilo,"Av. Circunvalar Entre Carreras 38 Y 46, Al Lado Del Hyundai Cómo llegar",6016340000,58,195000000,TOPE VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-07/picaflor-amarilo-aprovecha-aptos-en-colombia-barranquilla-a.jpeg,"Descubre Picaflor, el proyecto Tope VIS para estrenar vivienda en Alameda del Río, de Constructora Amarilo.",https://amarilo.com.co/proyecto/picaflor-alameda-del-rio,10.9961604,-74.8404779
reserva de la cienaga,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2024-04/logo-proyecto-reserva-cienaga.webp,Ciudad Mallorquín,Puerto Colombia,Amarilo,"Edificio BC Empresarial, Cra 53 #110 Esquina, Local 5 Cómo llegar",6016340000,55,175500000,TOPE VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2024-04/render-reserva-cienaga-fachada.webp,"Llega el nuevo proyecto de Amarilo, “Reserva de la Ciénaga”, una ventana a la vida que siempre has soñado, en una ubicación estratégica dentro de Ciudad Mallorquín.En Amarilo, estamos emocionados de presentarte este proyecto de vivienda, nuestra más reciente joya incrustada en el vibrante panorama de Puerto Colombia.Reserva de la Ciénaga no es solo un conjunto de viviendas; es el inicio de la vida que mereces, enmarcada en la majestuosidad de Ciudad Mallorquín, un desarrollo pensado para quienes buscan más que un lugar para vivir: buscan un hogar donde florecer.",https://amarilo.com.co/proyecto/reserva-de-la-cienaga,11.0235254,-74.8456874
silbador alameda del rio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/25.%20LOGO%20SILBADOR.jpg,Alameda Del Rio,Barranquilla,Amarilo,"Av. Circunvalar Entre Carreras 38 Y 46, Al Lado Del Hyundai Cómo llegar",6016340000,56,180700000,TOPE VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/silbador-cancha.png,"Emprender un viaje hacia tu nuevo hogar en Barranquilla ahora es más emocionante que nunca con Silbador, un proyecto de vivienda de la Constructora AmariloImagina vivir en una vivienda diseñada especialmente para ti y tu familia, en el epicentro de un desarrollo urbanístico que promete innovación y comodidad.Alameda del Río no es solo un sector, es la visión de una “Ciudad dentro de la Ciudad”. Y en su corazón se alza Silbador, dispuesto a ofrecerte una experiencia de vivienda sin parangón en la vibrante ciudad de Barranquilla.",https://amarilo.com.co/proyecto/silbador-alameda-del-rio,10.9961604,-74.8404779
yarumo san antonio,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-09/30.%20LOGO%20YARUMO.jpg,San Antonio,Soledad ,Amarilo,"Cll 68B Trasv. 1 Sur - 113 Por - Av. Murillo, Entrando por la nevada de Sobusa Cómo llegar",6016340000,61,169000000,VIS,https://media1.amarilo.com.co/website/s3fs-public/proyectos/2023-07/apartamentos_en_la_soledad_amarilo_yarumo_porteria.jpeg,"Descubre el proyecto residencial Yarumo, construido por Constructora Amarilo en San Antonio, Ciudad Residencial, ubicado en Soledad (Atlántico), para que puedas vivir en el hogar de tus sueños.",https://amarilo.com.co/proyecto/yarumo-san-antonio,10.9147635,-74.7702801
Ciudad del Parque El Cocuy,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/estrenar_vivienda_marval_ciudad_del_parque_el_cocuy-01.jpg,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,43.28,142942000,VIP,https://marval.com.co/wp-content/uploads/2023/03/marval-galeria-ciudad-del-parque-el-cocuy-20240123-1.jpg,"Ciudad del Parque El Cocuy se desarrolla en una zona de gran crecimiento urbanístico donde podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia. Como parte de la Nueva Soledad, el sector presenta una gran capacidad de valorización, con múltiples vías de acceso, cercano a varios espacios educativos y comerciales.",https://marval.com.co/proyecto/ciudad-del-parque-el-cocuy/,10.9077625,-74.8162699
Ciudad del Parque Bari,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo-ciudad-del-parque-bari.jpg,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,37.81,132665000,VIP,https://marval.com.co/wp-content/uploads/2023/01/marval-galeria-ciudad-del-parque-bari-20240123-1.jpg,"Ciudad del Parque Bari se desarrolla en una zona de gran crecimiento urbanístico donde podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia. Como parte de la Nueva Soledad, el sector presenta una gran capacidad de valorización, con múltiples vías de acceso, cercano a varios espacios educativos y comerciales.",https://marval.com.co/proyecto/bari/,10.9051099,-74.811668
Ciudad del Parque Tayrona II – Apartamentos,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo-ciudad-del-parque-tayrona.jpg,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,71.20,195000000,VIP,https://marval.com.co/wp-content/uploads/2023/01/marval-galeria-ciudad-del-parque-tayrona-2-aptos-20240125-1.jpg,"Se encuentra ubicado en el desarrollo urbanístico conocido como Ciudad del Parque, ubicado en el municipio de Soledad, Este es un sector de gran desarrollo urbano, con parques de cesión pública y vías de perfil amplio. Al frente del conjunto hay una importante área de cesión en la cual se desarrollará un gran parque con zonas verdes, cancha, áreas de recreación pasiva y activa y senderos peatonales. Como parte de la nueva Soledad, el sector cuenta con múltiples vías de acceso, cercano a varios espacios educativos y comerciales. Podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia",https://marval.com.co/proyecto/ciudad-del-parque-tayrona-ii/,10.9096581,-74.8156
Ciudad del Parque Los Flamencos,https://marval.com.co/wp-content/uploads/2022/03/Grupo-429.png,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,57.28,200870000,VIP,https://marval.com.co/wp-content/uploads/2023/01/marval-galeria-ciudad-del-parque-los-flamencos-20240125-1.jpg,"Flamencos es un proyecto de Vivienda de Interés Social ubicado en Ciudad del Parque la ciudadela habitacional más grande de Soledad, un lugar ideal para las familias que piensan en su futuro, su bienestar y mejorar su calidad de vida. Un sector en expansión que se ha posicionado por un amplio desarrollo de áreas de recreación, parques, ciclorutas, oferta institucional y comercial, así como servicios públicos y viales.",https://marval.com.co/proyecto/los-flamencos/,10.9077625,-74.8162699
Solario,https://marval.com.co/wp-content/uploads/2022/03/Grupo-429.png,Ciudad del Parque,Soledad,Marval,Carrera 30 con Calle 25 - 350,(607) 633 3987,60.94,193855000,VIP,https://marval.com.co/wp-content/uploads/2023/01/marval-galeria-solario-20230928-01.jpg,"Solario es un proyecto ubicado en una zona de alto desarrollo urbano en Soledad, al sur oriente de la ciudad con acceso a importantes vías. Este proyecto está diseñado estratégicamente para que cada persona, encuentre lo que necesita sin salir de casa; tendrá además, una amplía zona comercial con cercanía al Centro Comercial Gran Plaza del Sol, el Colegio Nuestra Señora de Fátima y el Hospital Universitario del Norte. Internamente tendremos beneficios como, club house, zona de juegos, zonas verdes, piscina y mucho más.",https://marval.com.co/proyecto/solario/,10.9077625,-74.8162699
Ciudad del Parque Acandí,https://www.estrenarvivienda.com/sites/default/files/styles/project_brand_style/public/node-project/field-project-logo/logo100estrenarvivienda_61.jpg?itok=CqoAubhC,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,61.23,132761000,VIP,https://marval.com.co/wp-content/uploads/2022/10/marval-galeria-ciudad-del-parque-acandi-20240125-1.jpg,"Ciudad del Parque Acandí se desarrolla en una zona de gran crecimiento urbanístico donde podrás disfrutar de ambientes naturales y cómodos espacios para el bienestar de tu familia. Como parte de la Nueva Soledad, el sector presenta una gran capacidad de valorización, con múltiples vías de acceso, cercano a varios espacios educativos y comerciales. Sitios de interés cercanos: – Colegio Liceo Mayor de Soledad Rafael Uribe Lacouture – Olímpica – Terminal de Transporte – Iglesia San Pancracio – C.C. Portal de Soledad – Portal de Transmetro Soledad",https://marval.com.co/proyecto/ciudad-del-parque-acandi/,10.9096249,-74.8149115
Ciudad del Parque Salamanca,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo-ciudad-del-parque-salamnca_0.jpg,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,37.81,174508000,VIP,https://marval.com.co/wp-content/uploads/2022/10/marval-ciudad-del-parque-salamanca-20240123-1.jpg,"Soledad es un sector muy importante en el Caribe Colombiano por varías razones: es patrimonio cultural y artístico, es eje de desarrollo industrial, de vivienda y de bienestar. Este conjunto de razones y muchas más benefician a un nuevo conjunto de vivienda VIS en este sector: Ciudad del Parque Salamanca, un proyecto ideal para vivir o para invertir. Ciudad del Parque Salamanca, donde tu bienestar está en el mejor lugar, contempla 240 unidades de apartamentos distribuidos en 12 torres conformadas por modelos dobles de 4 apartamentos por piso con áreas desde 52,07 m².",https://marval.com.co/proyecto/ciudad-del-parque-salamanca/,10.9055588,-74.8102049
Ciudad del Parque Nukak,https://www.estrenarvivienda.com/sites/default/files/styles/project_brand_style/public/node-project/field-project-logo/logo-ciudad-del-parque-el-nukak.jpg?itok=9wtYzOpx,Ciudad del Parque,Soledad,Marval,Carrera 12G con Calle 76,(607) 633 3987,37.81,126322000,VIP,https://marval.com.co/wp-content/uploads/2022/10/marval-galeria-ciudad-del-parque-nukak-20240123-1.jpg,"El proyecto CIUDAD DEL PARQUE NUKAK consta de 680 apartamentos VIS, con áreas entre los 52.07m². aprox., en torres de 5 pisos, y un área total construida en vivienda de aproximadamente 34.000 m². Cuenta con 363 estacionamientos al interior del conjunto, de los cuales 227 son comunales para residentes y 136 para visitantes cumpliendo con la normativa legal vigente. El proyecto está planteado como un conjunto multifamiliar semi-cerrado, las zonas sociales están conformadas por la portería, zonas verdes y recreativas, zonas de servicios generales y técnicas, además 2 locales comerciales exteriores.",https://marval.com.co/proyecto/ciudad-del-parque-nukak/,10.9035047,-74.8169458
Riverblue,https://www.estrenarvivienda.com/sites/default/files/styles/project_brand_style/public/logo-proyectos/images/2024-04/Formato-estrenar-vivienda-imagenes.jpg?itok=isrTbI6s,Satelite Riverside,Barranquilla,Marval,Calle 98 con Carrera 65 Esquina,(607) 633 3987,56.13,227420000,VIP,https://marval.com.co/wp-content/uploads/2024/01/riverblue-20240429-galeria-1.webp,"Riverblue es un innovador proyecto de Vivienda de Interés Social ubicado en norocciente de Barranquilla que reúne un diseño vanguardista y moderno con espacios abiertos, en una de las zonas de más desarrollo en la ciudad, Riomar. Con espacios para que conectes con tu vida y te reencuentres con la naturaleza, aprovechando su ubicación que te ofrece un estilo de vida único y todas las zonas comunes que buscas para ti y tu familia.",https://marval.com.co/proyecto/riverblue/,11.0210534,-74.8212242
Palmanova,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/palmanova-1000_1000.png,Ciudad Mallorquin,Puerto Colombia,Marval,Calle 100 con carrera 52 esquina ,(607) 633 3987,46.70,175500000,VIP,https://marval.com.co/wp-content/uploads/2023/07/marval-galeria-palmanova-20240527-1.webp,"El proyecto PALMANOVA, es un conjunto tipo VIS se encuentra ubicado en el desarrollo urbanístico Ciudad Mallorquín, en el municipio de Puerto Colombia al noroccidente del departamento del Atlántico. Este proyecto está próximo a grandes hitos urbanos como la Universidad del Norte, el Colegio Parrish y el Hotel Marriot, además de vías importantes como la Carrera 53 y la Av. Olaya Herrera. Ciudad Mallorquín está ubicado estratégicamente en una de las principales zonas de desarrollo del Municipio de Puerto Colombia. Plantea la construcción de un parque urbano que se convertirá en el pulmón verde del nuevo sector, donde su principio fundamental es la conservación del entorno natural existente. Se complementará con ciclovías y amplios andenes que promueven una movilidad sostenible.",https://marval.com.co/proyecto/palmanova/,11.0212047,-74.8458701
Puerta Dorada Natura,https://www.estrenarvivienda.com/sites/default/files/styles/project_brand_style/public/node-project/field-project-logo/proyecto_nuevo_-_2023-07-28t114533.849.jpg?itok=WOTxzMMW,Puerta Dorada,Barranquilla,Marval,Calle 100 # 18 sur - 100,(607) 633 3987,46.15,127530000,VIP,https://marval.com.co/wp-content/uploads/2023/07/marval-galeria-puerta-dorada-natura-20230926-01.jpg,"Increíbles amenidades y apartamentos diseñados para ti y tu familia en un entorno de conexión natural, para vivir mientras disfrutas tu nuevo estilo de vida. Con una ubicación privilegiada en Puerta Dorada, Barranquilla, este desarrollo urbano te brinda el escenario perfecto para crear memorias inolvidables. Podrás acceder fácilmente al futuro Centro Comercial Plaza Dorada, Centro Comercial Metrocentro, Estadio Metropolitano, Terminal de Transportes de Barranquilla, la Clínica VIDA, entre otros. Un área urbana en constante crecimiento, rodeada por zonas verdes, parques, alamedas y plazoletas con amplios espacios al aire libre que te harán compartir momentos de calidad con los que más quieres.",https://marval.com.co/proyecto/puerta-dorada-natura/,10.9214139,-74.8310596
Amaretto,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/proyecto_nuevo_-_2023-05-31t110253.712.jpg,Miramar,Barranquilla,Marval,Calle 100 con Transversal 43C esquina,(607) 633 3987,54.70,281457000,VIP,https://marval.com.co/wp-content/uploads/2023/04/web-marval-amaretto-20231206-1.jpg,"Con la mejor vista panorámica al parque Miramar. Este complejo residencial cuenta con espacios modernos y equipados para compartir con amigos y familiares. En Amaretto apartamentos, nos aseguramos de que disfrutes de una distribución eficiente y bien pensada para tu comodidad para que tu familia y tú puedan disfrutar al máximo de la vida.",https://marval.com.co/proyecto/amaretto/,11.0059467,-74.8362835
Puerta Dorada Coralina,https://olglass.com.co/uploads/1/2020-05/CAROLINA-1000.png,Puerta Dorada,Barranquilla,Marval,Calle 100 # 18 sur - 100,(607) 633 3987,57.08,182000000,VIP,https://marval.com.co/wp-content/uploads/2023/03/marval-galeria-puerta-dorada-coralina-20230913-02.jpg,"Puerta Dorada Coralina se desarrolla en el área metropolitana de Barranquilla, en uno de los sectores de mayor proyección, crecimiento y valorización del Caribe Colombiano. Este lugar cuenta con un área de 60 hectáreas cuyo desarrollo urbanístico integrará 10.000 soluciones de vivienda social construidas, 4 parques, grandes zonas verdes y recreativas. CORALINA esta es tu oportunidad de vivir con los beneficios que te ofrece la nueva Barranquilla.",https://marval.com.co/proyecto/puerta-dorada-coralina/,10.9252772,-74.83289189999999
Siena,https://marval.com.co/wp-content/uploads/2022/03/Grupo-429.png,Miramar,Barranquilla,Marval,Calle 100 con Transversal 43C esquina,(607) 633 3987,64.50,357892000,NO VIS,https://marval.com.co/wp-content/uploads/2023/03/marval-siena-ACCESO_01-1170x785.jpg,"Siena se encuentra estratégicamente ubicado en Miramar, el lugar donde se desarrolla la Barranquilla moderna. Aquí tu inversión crece mientras disfrutas increíbles zonas sociales, así como resulta muy práctico movilizarse a cualquier punto de la ciudad. Vías de acceso principales que favorecen tu movilidad: Avda. Olaya Herrera, calle 100, transversal 43A, 43B y prolongación de la carrera 43 que tendrá conexión con la circunvalar. Sitios de interés cercanos: – C.C. Buenavista – C.C. Miramar – Gimnasio Bodytech – Aeropuerto Ernesto Cortissoz – Servicio de Transmetro – Alkosto – Homecenter – Universidad Autónoma del Caribe",https://marval.com.co/proyecto/siena/,11.0031109,-74.8346296
Dimaro,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo_dimaro.jpg,Miramar,Barranquilla,Marval,Calle 100 con Transversal 43C esquina,(607) 633 3987,74.61,393841000,VIP,https://marval.com.co/wp-content/uploads/2022/12/dimaro-20240529-galeria-3.webp,"Los sueños se hacen realidad en Miramar, gracias a Dimaro, un nuevo proyecto con áreas construidas entre los 74 m² y los 85,3 m². El urbanismo de este sector se desarrolla pensando en los deseos de las personas y todo eso que quieren vivir una vez que tomen la decisión de vivir en esta nueva Barranquilla.",https://marval.com.co/proyecto/dimaro/,11.0085314,-74.838352
Génova,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/genova-logo.jpg,Miramar,Barranquilla,Marval,Calle 100 con Transversal 43C esquina,(607) 633 3987,44.44,263845000,VIP,https://marval.com.co/wp-content/uploads/2022/12/marval-galeria-genova-20230921-15.jpg,"¡Comodidad para toda la familia! Ubicado en Miramar, un sector con ubicación estratégica que se encuentra rodeado de parques con amplias zonas verdes y la calidez que se respira en la Puerta de Oro de Colombia por su clima y su gente. Un urbanismo característico desarrollado alrededor de la zona pensando en los que quieren vivir en la nueva Barranquilla. Cuenta con importantes vías que conectan Miramar con el resto de la ciudad. ¡Atrévete a soñarlo, la decisión se toma sola!",https://marval.com.co/proyecto/genova/,11.0031109,-74.8346296
Aquanova,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo-aquanova.jpg,Ciudad Mallorquin,Puerto Colombia,Marval,Calle 100 con carrera 52 esquina,(607) 633 3987,46.99,175500000,VIP,https://marval.com.co/wp-content/uploads/2022/12/marval-galeria-aquanova-01.jpg,"El proyecto Aquanova, es un conjunto tipo VIS se encuentra ubicado en el desarrollo urbanístico Ciudad Mallorquín, en el municipio de Puerto Colombia al noroccidente del departamento del Atlántico. Este proyecto está próximo a grandes hitos urbanos como la Universidad del Norte, el Colegio Parrish y el Hotel Marriot, además de vías importantes como la Carrera 53 y la Av. Olaya Herrera. Ciudad Mallorquín está ubicado estratégicamente en una de las principales zonas de desarrollo del Municipio de Puerto Colombia. Plantea la construcción de un parque urbano que se convertirá en el pulmón verde del nuevo sector, donde su principio fundamental es la conservación del entorno natural existente. Se complementará con ciclovías y amplios andenes que promueven una movilidad sostenible.",https://marval.com.co/proyecto/aquanova/,11.0215433,-74.8444519
Puerta Dorada Cristalina,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo-puerta-dorada-cistalina.jpg,Puerta Dorada,Barranquilla,Marval,Calle 100 # 18 sur - 100,(607) 633 3987,70.30,195000000,VIP,https://marval.com.co/wp-content/uploads/2022/12/puerta-dorada-cristalina-marval-20240220-galeria-1.jpg,"El proyecto Cristalina se encuentra ubicado en el desarrollo urbanístico de Puerta Dorada. Es un conjunto de viviendas tipo VIS. Alrededor de un sector de gran desarrollo urbanístico con parques de cesión pública y vías de perfil generoso. Ideal para la comodidad, el confort y el disfrute de sus habitantes. Puerta Dorada consta de 17 torres de 11 pisos cada una y cuatro apartamentos por piso para un total de 748 apartamentos, con áreas de 57,71m² y 70,30m². Cuenta con un total de 298 estacionamientos para vehículos (191 residentes y 107 visitantes) y 125 estacionamientos para motos, localizados en un edificio de parqueaderos de cuatro pisos y otra parte en superficie. Cuenta con dos acceso peatonales y un completo equipamiento comunal.",https://marval.com.co/proyecto/cristalina/,10.9273232,-74.83232939999999
Puerta Dorada Marisma,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/puerta-dorada-marismalogo.jpg,Puerta Dorada,Barranquilla,Marval,Calle 100 # 18 sur - 100,(607) 633 3987,54.74,198296000,VIP,https://marval.com.co/wp-content/uploads/2022/12/marval-puerta-dorada-marisma-galeria-20240220-1.jpg,"Puerta Dorada es la NUEVA Barranquilla. Puerta Dorada se desarrolla en el área metropolitana de Barranquilla, en uno de los sectores de mayor proyección, crecimiento y valorización del Caribe Colombiano. Este lugar cuenta con un área de 60 hectáreas cuyo desarrollo urbanístico integrará 10.000 soluciones de vivienda social construidas, 4 parques, grandes zonas verdes y recreativas.",https://marval.com.co/proyecto/marisma/,10.9231241,-74.8306345
La Plazuela,https://www.estrenarvivienda.com/sites/default/files/node-project/field-project-logo/logo100estrenarvivienda_65.jpg,La plazuela,Barranquilla,Marval,Calle 53 con Carrera 54 esquina,(607) 633 3987,69.03,373058000,VIP,https://marval.com.co/wp-content/uploads/2023/05/marval-mapa-LA-PLAZUELA.png,"Un proyecto diseñado con las ventajas de tenerlo todo alrededor. 732 apartamentos construidos con características que encierran una distribución ideal, exclusivas zonas de bienestar y una torre con 732 parqueaderos privados y 146 estacionamientos para visitantes. Vías de acceso principales que favorecen tu movilidad: Calle 53 entre carrera 44 y 45. El proyecto está diseñado con las ventajas de tenerlo todo a su alrededor, cuenta con características que encierran una distribución ideal y exclusiva en todas sus zonas y espacios que brindan confort y bienestar para toda tu familia. Su zona social cuenta con gimnasio, juegos infantiles, piscina familiar, salón de eventos, zonas verdes, entre otras amenidades que te regalarán nuevas experiencias. Su ubicación es céntrica. Sitios de interés cercanos: – Homecenter – Plaza de la Paz – C.C. Portal del Prado – Colegio María Auxiliadora – Universidad Libre – Universidad Santo Tomás – Catedral Metropolitana María Reina de Barranquilla – Estación La Catedral de Transmetro",https://marval.com.co/proyecto/la-plazuela/,10.9874395,-74.78912749999999
